model_layers,corruption,step0,step5,step10,step15,step20,step25,step30
2,gaussian_noise,0.021666666666666667,0.13333333333333333,0.155,0.16833333333333333,0.16333333333333333,0.14833333333333334,0.14333333333333334
2,shot_noise,0.018333333333333333,0.14166666666666666,0.16,0.16333333333333333,0.16,0.15666666666666668,0.15166666666666667
2,impulse_noise,0.018333333333333333,0.15,0.16333333333333333,0.165,0.165,0.155,0.155
2,defocus_blur,0.15666666666666668,0.3016666666666667,0.285,0.29,0.29333333333333333,0.2966666666666667,0.3
2,glass_blur,0.22833333333333333,0.3383333333333333,0.325,0.3233333333333333,0.33,0.33166666666666667,0.3333333333333333
2,motion_blur,0.18833333333333332,0.2816666666666667,0.2683333333333333,0.29,0.2866666666666667,0.2833333333333333,0.28833333333333333
2,zoom_blur,0.12333333333333334,0.2783333333333333,0.27666666666666667,0.275,0.2683333333333333,0.265,0.2783333333333333
2,snow,0.09,0.23,0.235,0.23,0.215,0.21,0.20666666666666667
